County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Clinton,2005,2058,569,73,128,74,294,1489,46,381,430,632
Columbia,2005,1374,322,41,77,38,166,1052,105,233,256,458
Cortland,2005,1421,366,31,89,35,211,1055,31,242,275,507
Delaware,2005,1024,269,23,60,36,150,755,21,238,180,316
Dutchess,2005,5728,1621,263,365,196,797,4107,290,1252,1027,1538
Erie,2005,25873,7902,1282,2535,440,3645,17971,2843,2781,5435,6912
Essex,2005,902,207,23,30,29,125,695,27,274,125,269
Franklin,2005,1246,363,44,82,31,206,883,25,211,211,436
Fulton,2005,1605,400,64,67,48,221,1205,35,327,257,586
Genesee,2005,1401,354,41,67,70,176,1047,59,318,267,403
Greene,2005,1321,379,28,57,50,244,942,58,309,175,400
Hamilton,2005,77,12,0,2,2,8,65,4,22,22,17
Herkimer,2005,1352,301,21,97,30,153,1051,53,292,236,470
Jefferson,2005,2650,601,94,130,43,334,2049,77,511,543,918
Kings,2005,81965,28605,7858,9290,163,11294,53360,20124,1719,12242,19275
Lewis,2005,444,131,9,34,21,67,313,20,103,58,132
Livingston,2005,1434,302,25,41,41,195,1132,54,358,269,451
Madison,2005,1216,278,28,43,31,176,938,52,275,256,355
Monroe,2005,17032,4539,775,1240,419,2105,12493,902,1977,4853,4761
Montgomery,2005,1234,337,49,68,29,191,897,44,179,272,402
Nassau,2005,17030,5787,992,1598,261,2936,11243,1403,3090,3407,3343
New York,2005,78819,25594,7750,5697,130,12017,53225,14991,1191,20728,16315
Niagara,2005,6043,1673,217,544,125,787,4370,321,915,1046,2088
Oneida,2005,5842,1250,246,326,63,653,4592,395,873,1443,1881
Onondaga,2005,11529,3898,623,1151,184,1940,7631,727,1525,2606,2773
Ontario,2005,2146,550,48,105,80,317,1596,73,336,508,679
Orange,2005,9709,2670,637,558,213,1262,7039,1120,1516,2005,222398
Orleans,2005,864,243,60,47,23,113,621,45,161,118,297
Oswego,2005,2740,712,42,196,77,397,2028,55,506,636,831
Otsego,2005,1240,317,39,65,49,164,923,37,300,234,352
Putnam,2005,1532,386,77,94,15,200,1146,82,379,206,479
Queens,2005,49486,17267,3181,5522,294,8270,32219,8040,2582,8222,13375
Rensselaer,2005,3397,1061,227,240,69,525,2336,129,556,9509,1142
Richmond,2005,9181,2921,853,923,15,1130,6260,1606,616,1485,2553
Rockland,2005,4713,1482,328,356,116,682,3231,269,839,918,1205
Saratoga,2005,3757,883,82,184,134,483,2874,121,944,677,1132
Schenectady,2005,4217,1158,242,257,64,595,3059,228,468,918,1445
Schoharie,2005,691,160,25,16,18,101,531,33,169,134,195
Schuyler,2005,403,90,10,21,10,49,313,3,80,90,140
Seneca,2005,833,182,20,25,38,99,651,23,154,141,333
Steuben,2005,2389,703,151,119,70,363,1686,74,442,393,777
St. Lawrence,2005,2751,649,89,136,57,367,2102,84,419,524,1075
Suffolk,2005,24613,7029,1360,1600,477,3592,17584,3514,4166,3500,6404
Sullivan,2005,2486,788,140,207,84,357,1698,179,308,511,700
Tioga,2005,791,222,13,51,38,120,569,29,131,94,315
Tompkins,2005,1615,348,44,79,28,197,1267,55,303,373,536
Ulster,2005,4922,1237,199,265,167,606,3685,367,1353,775,1190
Unknown-NonNYS,2005,77,64,6,23,1,34,13,6,0,2,5
Warren,2005,2149,509,48,108,80,273,1640,76,508,369,687
Washington,2005,1396,327,35,81,38,173,1069,47,315,194,513
Wayne,2005,1937,510,45,113,78,274,1427,102,265,349,711
Westchester,2005,18644,5917,1231,1711,225,2750,12727,2343,2321,3522,4541
Wyoming,2005,710,203,15,38,28,122,507,25,150,79,253
Yates,2005,432,88,7,13,18,50,344,3,88,75,178
Albany,2004,9560,3201,765,662,111,1663,6359,570,1181,1820,2788
Allegany,2004,1109,252,31,48,40,133,857,26,249,171,411
Bronx,2004,68952,20894,6993,6573,119,7209,48058,18515,1339,11303,16901
Broome,2004,5587,1650,355,363,117,815,3937,243,594,1321,1779
Cattaraugus,2004,1951,462,50,116,73,223,1489,67,334,357,731
Cayuga,2004,1904,527,121,99,30,277,1377,35,243,445,654
Chautauqua,2004,3863,951,215,202,129,405,2912,141,603,715,1453
Chemung,2004,2764,633,113,133,85,302,2131,139,387,676,929
Chenango,2004,1224,300,19,59,31,191,924,38,244,220,422
Clinton,2004,2024,519,77,105,67,270,1505,54,418,379,654
Columbia,2004,1394,287,31,49,40,167,1107,130,313,240,424
Cortland,2004,1403,309,23,77,29,180,1094,35,246,274,539
Delaware,2004,1003,232,26,46,25,135,771,18,214,180,359
Dutchess,2004,5724,1560,232,328,164,836,4164,318,1241,1069,1536
Erie,2004,25690,7836,1230,2481,420,3705,17854,2655,2738,5290,7171
Essex,2004,995,255,49,42,24,140,740,44,267,125,304
Franklin,2004,1417,412,96,60,30,226,1005,40,240,223,502
Fulton,2004,1696,303,22,57,46,178,1393,32,347,311,703
Genesee,2004,1409,377,39,79,57,202,1032,75,362,202,393
Greene,2004,1304,328,29,65,40,194,976,55,320,196,405
Hamilton,2004,97,25,10,4,3,8,72,8,29,11,24
Herkimer,2004,1299,308,39,82,39,148,991,32,268,211,480
Jefferson,2004,2708,652,91,161,53,347,2056,93,598,586,779
Kings,2004,74884,25818,5545,9263,144,10866,49066,17930,1318,12112,17706
Lewis,2004,473,109,12,15,15,67,364,17,108,76,163
Livingston,2004,1477,343,28,74,37,204,1134,55,354,267,458
Madison,2004,1342,319,19,69,28,203,1023,37,312,288,386
Monroe,2004,17310,4685,843,1222,400,2209,12625,931,2106,4834,4754
Montgomery,2004,1105,276,45,48,31,152,829,25,180,203,421
Nassau,2004,17185,5543,908,1542,269,2824,11642,1434,3418,3535,3255
New York,2004,83908,26669,9431,5867,134,11237,57239,17129,1047,22805,16258
Niagara,2004,5747,1656,197,492,121,846,4091,213,743,1071,2064
Oneida,2004,6032,1260,264,345,63,588,4772,447,918,1510,1897
Onondaga,2004,11464,3756,634,1080,157,1885,7708,717,1348,2821,2822
Ontario,2004,2022,479,45,84,91,259,1543,61,304,505,673
Orange,2004,9186,2454,578,550,170,1156,6732,837,1596,1992,2307
Orleans,2004,829,260,30,60,23,147,569,19,110,120,320
Oswego,2004,2608,763,46,169,90,458,1845,66,542,486,751
Otsego,2004,1349,317,43,71,31,172,1032,43,374,237,378
Putnam,2004,1363,308,54,44,22,188,1055,89,416,176,374
Queens,2004,46679,16692,2931,5438,252,8071,29987,7184,2098,8067,12638
Rensselaer,2004,3551,1089,226,257,65,541,2462,125,578,520,1239
Richmond,2004,8582,2588,606,927,13,1042,5994,1537,633,1385,2439
Rockland,2004,4672,1334,295,324,86,629,3338,287,757,1057,1237
Saratoga,2004,3747,856,98,169,109,480,2891,125,891,784,1091
Schenectady,2004,3894,1096,243,248,53,552,2798,163,400,904,1331
Schoharie,2004,670,121,8,32,15,66,549,16,173,129,231
Schuyler,2004,428,101,13,15,22,51,327,9,66,97,155
Seneca,2004,849,217,20,30,33,134,632,22,165,136,309
Steuben,2004,2083,589,65,119,84,321,1494,73,387,336,698
St. Lawrence,2004,2627,654,109,142,54,349,1973,55,483,440,995
Suffolk,2004,24687,6942,1192,1633,483,3634,17745,3833,3917,3449,6546
Sullivan,2004,2321,716,112,186,58,360,1605,171,363,413,658
Tioga,2004,864,214,14,48,37,115,650,30,175,141,304
Tompkins,2004,1494,292,25,59,43,165,1202,50,320,345,487
Ulster,2004,4591,1130,167,244,140,579,3461,313,1133,711,1304
Unknown-NonNYS,2004,63,51,9,14,2,26,12,0,0,1,11
Unknown NYC county,2004,1,0,0,0,0,0,1,0,0,1,0
Warren,2004,2228,490,43,99,54,294,1738,66,507,414,751
Washington,2004,1477,375,55,68,46,206,1102,37,326,182,557
Wayne,2004,2260,627,79,115,80,353,1633,82,372,377,802
Westchester,2004,17650,5592,1216,1664,187,2525,12058,2106,2128,3585,4239
Wyoming,2004,707,198,19,24,32,123,509,29,172,95,213
Yates,2004,450,119,11,22,17,69,331,5,71,61,194
Albany,2003,9925,3268,789,689,93,1697,6657,573,1248,1811,3025
Allegany,2003,1087,270,23,64,34,149,817,11,210,143,453
Bronx,2003,67270,20911,7283,6883,76,6669,46359,19206,621,12419,14113
Broome,2003,5708,1645,335,361,107,842,4063,211,512,1468,1872
Cattaraugus,2003,1822,388,20,127,58,183,1434,64,355,338,677
Cayuga,2003,1744,433,68,85,28,252,1311,36,267,406,602
Chautauqua,2003,3929,855,198,158,112,387,3074,137,661,726,1550
Chemung,2003,2486,573,59,141,64,309,1913,122,323,612,856
Chenango,2003,1220,291,21,60,23,187,929,32,240,260,397
Clinton,2003,2045,590,104,120,46,320,1455,52,391,412,600
Columbia,2003,1353,296,34,75,31,156,1057,98,276,239,444
Cortland,2003,1613,349,29,94,37,189,1264,36,298,311,619
Delaware,2003,1070,248,14,85,26,123,822,24,225,205,368
Dutchess,2003,5524,1495,236,359,146,754,4029,261,1195,1051,1522
Erie,2003,26290,7996,1229,2499,505,3763,18294,2593,2674,5715,7312
Essex,2003,960,213,29,32,26,126,747,27,292,133,295
Franklin,2003,1304,373,79,74,30,190,931,36,231,214,450
Fulton,2003,1557,299,20,67,37,175,1258,28,337,279,614
Genesee,2003,1240,324,28,78,47,171,916,51,300,206,359
Greene,2003,1366,367,26,80,38,223,999,65,322,181,431
Hamilton,2003,104,19,1,9,4,5,85,3,30,16,36
Herkimer,2003,1402,340,35,102,31,172,1062,30,285,229,518
Jefferson,2003,2543,603,119,124,47,313,1940,94,548,468,830
Kings,2003,76379,24547,4436,9734,93,10284,51832,23094,1023,11224,16491
Lewis,2003,434,87,3,21,15,48,347,8,107,91,141
Livingston,2003,1434,291,20,67,35,169,1143,52,303,315,473
Madison,2003,1457,301,29,58,19,195,1156,45,368,282,461
Monroe,2003,17339,4656,899,1242,398,2117,12683,931,2012,4967,4773
Montgomery,2003,1188,299,48,57,25,169,889,51,159,245,434
Nassau,2003,17016,5595,878,1594,249,2874,11421,1366,2833,3630,3592
New York,2003,79423,25664,9291,5935,101,10337,53759,16943,855,21020,14941
Niagara,2003,5462,1381,165,405,118,693,4081,209,779,1084,2009
Oneida,2003,6009,1179,179,326,54,620,4830,369,921,1500,2040
Onondaga,2003,11507,3909,493,1157,133,2126,7598,709,1332,2772,2785
Ontario,2003,2029,496,60,99,74,263,1533,57,294,467,715
Orange,2003,9394,2537,505,575,201,1256,6857,744,1499,2129,2485
Orleans,2003,772,257,53,56,26,122,515,32,129,112,242
Oswego,2003,2425,637,53,157,73,354,1788,44,467,453,824
Otsego,2003,1428,336,35,59,36,206,1092,52,357,275,408
Putnam,2003,1436,335,64,68,17,186,1101,78,373,216,434
Queens,2003,46865,15570,2158,5743,170,7499,31295,11380,1462,7582,10871
Rensselaer,2003,3357,971,185,266,50,470,2386,122,466,555,1243
Richmond,2003,9059,2677,548,920,5,1204,6382,2233,503,1330,2316
Rockland,2003,4498,1383,321,324,74,664,3115,249,662,1060,1144
Saratoga,2003,4252,881,107,190,120,464,3371,196,1014,775,1386
Schenectady,2003,3800,1080,260,213,63,544,2720,183,378,852,1307
Schoharie,2003,742,154,13,28,24,89,588,17,192,173,206
Schuyler,2003,426,92,4,19,19,50,334,10,98,61,165
Seneca,2003,920,239,24,42,31,142,681,19,170,146,346
Steuben,2003,2168,564,48,103,86,327,1604,57,370,423,754
St. Lawrence,2003,2535,633,74,148,49,362,1902,31,430,446,995
Suffolk,2003,26101,7397,1022,1590,520,4265,18704,3922,4259,3602,6921
Sullivan,2003,2230,687,125,169,41,352,1543,176,304,339,724
Tioga,2003,913,194,22,37,28,107,719,25,203,135,356
Tompkins,2003,1665,301,32,78,32,159,1364,53,294,414,603
Ulster,2003,4838,1298,193,271,113,721,3540,326,1104,738,1372
Unknown-NonNYS,2003,79,68,7,23,1,37,11,0,2,1,8
Warren,2003,2360,540,47,115,57,321,1820,66,537,445,772
Washington,2003,1439,283,30,53,29,171,1156,35,333,214,574
Wayne,2003,2259,612,63,126,95,328,1647,91,357,415,784
Westchester,2003,16675,5313,1045,1688,143,2437,11362,1809,2199,3230,4124
Wyoming,2003,764,202,24,40,20,118,562,13,159,141,249
Yates,2003,441,98,7,14,17,60,343,4,87,63,189
Albany,2002,9752,3345,695,785,128,1737,6407,552,1221,1820,2814
Allegany,2002,1170,271,18,61,33,159,899,13,199,194,493
Bronx,2002,66013,23165,8195,7254,73,7643,42848,18778,513,10445,13112
Broome,2002,6169,1810,412,417,140,841,4359,226,584,1436,2113
Cattaraugus,2002,1802,378,21,103,53,201,1424,63,355,316,690
Cayuga,2002,1658,458,60,104,23,271,1200,28,259,382,531
Chautauqua,2002,4100,814,150,185,124,355,3286,138,773,723,1652
Chemung,2002,2520,577,80,148,77,272,1943,124,312,581,926
Chenango,2002,1245,264,8,70,24,162,981,21,230,237,493
Clinton,2002,2019,533,76,103,71,283,1486,42,408,409,627
Columbia,2002,1233,268,49,64,36,119,965,102,168,223,472
Cortland,2002,1562,277,15,82,31,149,1285,33,334,292,626
Delaware,2002,1228,298,28,83,35,152,930,28,244,215,443
Dutchess,2002,5575,1542,235,313,152,842,4033,267,1069,1018,1679
Erie,2002,25944,8305,1505,2584,423,3793,17639,2433,2581,5295,7330
Essex,2002,915,232,20,40,26,146,683,19,269,121,274
Franklin,2002,1291,366,53,87,37,189,925,40,230,201,454
Fulton,2002,1549,302,39,42,30,191,1247,41,321,292,593
Genesee,2002,1306,351,26,70,52,203,955,32,284,199,440
Greene,2002,1324,367,40,74,39,214,957,48,302,195,412
Hamilton,2002,78,12,1,2,3,6,66,4,34,13,15
Herkimer,2002,1338,314,41,96,36,141,1024,34,292,210,488
Jefferson,2002,2656,640,91,126,68,355,2016,73,558,563,822
Kings,2002,83216,28469,6170,10653,135,11511,54747,26224,854,10917,16752
Lewis,2002,442,119,6,18,13,82,323,9,114,69,131
Livingston,2002,1315,251,18,66,30,137,1064,30,296,271,467
Madison,2002,1424,298,31,86,7,174,1126,47,293,319,467
Monroe,2002,18471,5154,1125,1284,428,2317,13317,1184,1978,5004,5151
Montgomery,2002,1204,288,33,46,36,173,916,34,213,225,444
Nassau,2002,16551,5470,951,1652,230,2637,11081,1194,2767,3563,3557
New York,2002,84588,28964,11543,6715,150,10556,55624,21304,674,18268,15378
Niagara,2002,5219,1524,218,437,69,800,3695,139,682,967,1907
Oneida,2002,6094,1224,198,366,24,636,4870,287,893,1487,2203
Onondaga,2002,12063,4152,603,1236,137,2176,7911,694,1238,3051,2928
Ontario,2002,2253,575,82,95,76,322,1678,104,293,507,774
Orange,2002,9277,2604,527,581,195,1301,6673,713,1439,2053,2468
Orleans,2002,772,225,27,49,34,115,547,8,137,116,286
Oswego,2002,2533,621,50,163,83,325,1912,43,471,517,881
Otsego,2002,1328,303,35,73,35,160,1025,42,294,289,400
Putnam,2002,1383,318,40,78,15,185,1065,142,280,180,463
Queens,2002,45983,16030,2462,5943,205,7420,29953,11633,1273,6181,10866
Rensselaer,2002,3486,985,167,258,55,505,2501,100,561,563,1277
Richmond,2002,9565,3034,797,1039,7,1191,6531,2492,464,1373,2202
Rockland,2002,4200,1288,214,351,72,651,2912,269,572,1017,1054
Saratoga,2002,4209,867,91,207,108,461,3342,137,895,814,1496
Schenectady,2002,3685,1091,263,229,57,542,2594,131,397,857,1209
Schoharie,2002,689,142,14,24,20,84,547,16,166,126,239
Schuyler,2002,447,88,9,20,17,42,359,5,98,42,214
Seneca,2002,923,196,13,34,35,114,727,14,163,161,389
Steuben,2002,2185,529,24,92,100,313,1656,37,447,357,815
St. Lawrence,2002,2789,668,129,126,67,346,2121,43,601,486,991
Suffolk,2002,25851,7262,982,1647,556,4077,18589,3364,4007,3589,7629
Sullivan,2002,2145,638,94,183,51,310,1507,140,310,390,667
Tioga,2002,945,227,9,46,43,129,718,30,195,142,351
Tompkins,2002,1844,313,45,63,27,178,1531,72,288,462,709
Ulster,2002,4785,1256,184,279,135,658,3529,302,900,809,1518
Unknown-NonNYS,2002,74,59,9,24,1,25,15,0,2,5,8
Warren,2002,2311,534,50,88,74,322,1777,69,537,412,759
Washington,2002,1377,326,25,73,39,189,1051,30,304,181,536
Wayne,2002,2311,561,38,91,100,332,1750,103,314,485,848
Westchester,2002,16108,5302,893,1604,188,2617,10806,1566,2151,3212,3877
Wyoming,2002,813,257,26,34,34,163,556,13,197,94,252
Yates,2002,415,115,15,31,16,53,300,12,62,76,150
Albany,2001,9849,3076,657,764,116,1539,6773,932,1161,1993,2687
Allegany,2001,1143,239,12,53,32,142,904,22,246,188,448
Bronx,2001,64700,24191,8377,7919,72,7823,40509,17232,516,9713,13048
Broome,2001,6033,1636,347,341,142,806,4397,238,583,1389,2187
Cattaraugus,2001,1800,358,26,90,51,191,1442,44,342,384,672
Cayuga,2001,1791,463,58,113,24,268,1328,31,227,430,640
Chautauqua,2001,3789,821,98,199,119,405,2968,97,761,683,1427
Chemung,2001,2486,543,56,138,69,280,1943,91,360,600,892
Chenango,2001,1070,237,10,52,34,141,833,12,185,239,397
Clinton,2001,1982,507,52,100,55,300,1475,60,345,393,677
Columbia,2001,1372,304,48,81,54,121,1068,130,208,279,451
Cortland,2001,1388,285,28,79,28,150,1103,35,267,274,527
Delaware,2001,1165,235,14,41,30,150,930,33,257,205,435
Dutchess,2001,5790,1487,218,318,153,798,4303,231,1156,1170,1746
Erie,2001,25800,8122,1386,2533,391,3812,17678,2428,2636,5172,7442
Essex,2001,700,187,8,43,22,114,513,12,190,109,202
Franklin,2001,1195,315,33,69,22,191,880,21,236,211,412
Fulton,2001,1453,285,7,48,49,181,1168,13,373,259,523
Genesee,2001,1390,375,26,85,60,204,1015,61,293,278,383
Greene,2001,1324,351,30,80,34,207,973,37,311,197,428
Hamilton,2001,72,16,5,2,2,7,56,5,34,10,7
Herkimer,2001,1394,317,36,89,32,160,1077,32,285,217,543
Jefferson,2001,2406,576,74,123,58,321,1830,66,556,405,803
Kings,2001,91863,31582,7570,11441,187,12384,60281,28183,893,12872,18333
Lewis,2001,386,77,5,15,11,46,309,11,115,60,123
Livingston,2001,1310,232,27,48,25,132,1078,35,276,308,459
Madison,2001,1214,225,9,69,7,140,989,26,278,275,410
Monroe,2001,18485,5162,1067,1267,496,2332,13323,949,2057,5045,5272
Montgomery,2001,1232,272,47,63,31,131,960,29,188,235,508
Nassau,2001,16613,5616,1000,1564,244,2808,10997,1179,2661,3697,3460
New York,2001,86541,28866,10843,6967,191,10865,57675,21878,573,19998,15226
Niagara,2001,5291,1394,175,453,66,700,3897,179,665,1043,2010
Oneida,2001,5876,1181,214,322,20,625,4695,318,834,1414,2129
Onondaga,2001,12934,4482,597,1443,158,2284,8452,764,1326,3223,3139
Ontario,2001,2358,518,55,84,130,249,1840,120,360,553,807
Orange,2001,9555,2542,473,604,229,1236,7013,705,1641,2217,2450
Orleans,2001,704,207,53,37,31,86,497,29,98,140,230
Oswego,2001,2625,699,61,168,77,393,1926,30,442,565,889
Otsego,2001,1305,324,10,88,30,196,981,27,287,216,451
Putnam,2001,1225,262,38,56,12,156,963,65,277,203,418
Queens,2001,45767,16197,2506,6419,184,7088,29570,10608,1084,6461,11417
Rensselaer,2001,3494,982,164,273,65,480,2512,136,593,590,1193
Richmond,2001,9771,3312,992,1093,3,1224,6459,2069,398,1428,2564
Rockland,2001,3842,1194,198,312,69,615,2648,229,553,896,970
Saratoga,2001,3899,862,72,198,85,507,3037,103,885,749,1300
Schenectady,2001,3471,1087,252,247,49,539,2384,133,340,766,1145
Schoharie,2001,690,141,14,24,23,80,549,14,164,141,230
Schuyler,2001,400,70,3,12,15,40,330,3,86,58,183
Seneca,2001,830,186,12,24,25,125,644,9,129,131,375
Steuben,2001,2421,548,48,117,97,286,1873,33,504,421,915
St. Lawrence,2001,2549,635,85,122,68,360,1914,40,603,382,889
Suffolk,2001,23956,6954,768,1721,508,3957,17002,2741,3521,3508,7232
Sullivan,2001,2261,622,109,145,63,305,1639,154,354,364,767
Tioga,2001,946,211,15,31,49,116,735,15,250,152,318
Tompkins,2001,1876,294,20,80,32,162,1582,61,353,478,690
Ulster,2001,4535,1134,183,205,115,631,3401,290,889,805,1417
Unknown-NonNYS,2001,82,66,11,24,0,31,16,1,6,3,6
Unknown NYC county,2001,1,0,0,0,0,0,1,0,0,1,0
Warren,2001,2062,502,33,115,62,292,1560,38,471,320,731
Washington,2001,1462,354,39,71,59,185,1108,36,359,194,519
Wayne,2001,2221,501,43,97,86,275,1720,87,319,459,855
Westchester,2001,16093,5093,796,1659,177,2461,11000,1560,1999,3482,3959
Wyoming,2001,730,193,21,29,32,111,537,13,163,103,258
Yates,2001,470,112,2,10,12,88,358,5,80,83,190
Albany,2000,9527,2808,518,616,138,1536,6719,920,1296,2031,2472
Allegany,2000,1207,270,29,73,27,141,937,18,213,189,517
Bronx,2000,76630,25581,9587,8227,52,7715,51049,26694,457,11586,12312
Broome,2000,5769,1625,393,326,155,751,4144,265,628,1452,1799
Cattaraugus,2000,1781,342,38,86,50,168,1439,54,350,342,693
Cayuga,2000,1769,375,42,101,22,210,1394,32,309,428,625
Chautauqua,2000,3632,783,106,166,128,383,2849,81,757,639,1372
Chemung,2000,2714,637,106,138,111,282,2077,95,437,559,986
Chenango,2000,1136,274,12,60,31,171,862,24,182,184,472
Clinton,2000,1856,497,37,85,83,292,1359,53,336,410,560
Columbia,2000,1341,291,59,45,47,140,1050,94,230,263,463
Cortland,2000,1610,337,15,91,50,181,1273,35,280,314,644
Delaware,2000,1141,220,34,55,21,110,921,23,279,164,455
Dutchess,2000,5385,1381,258,273,150,700,4004,245,1084,1151,1524
Erie,2000,26869,8243,1277,2543,335,4088,18626,2495,2739,5417,7975
Essex,2000,827,216,18,55,24,119,611,12,194,137,268
Franklin,2000,1260,280,30,57,43,150,980,21,287,210,462
Fulton,2000,1579,317,22,60,46,189,1262,14,452,288,508
Genesee,2000,1396,315,25,82,49,159,1081,51,332,272,426
Greene,2000,1251,309,22,72,49,166,942,31,289,213,409
Hamilton,2000,80,12,1,4,4,3,68,5,30,13,20
Herkimer,2000,1329,305,32,89,23,161,1024,41,275,249,459
Jefferson,2000,2544,632,89,131,69,343,1912,57,593,436,826
Kings,2000,98678,33247,9135,12137,153,11822,65431,31623,955,15599,17254
Lewis,2000,404,96,1,26,11,58,308,0,102,81,125
Livingston,2000,1447,277,32,67,44,134,1170,30,279,289,572
Madison,2000,1330,236,9,65,5,157,1094,27,297,256,514
Monroe,2000,19257,5518,1334,1288,580,2316,13739,1157,2326,4939,5317
Montgomery,2000,1358,270,29,46,32,163,1088,46,231,277,534
Nassau,2000,15890,5121,860,1455,261,2545,10769,1153,2475,3747,3394
New York,2000,100192,32389,13419,7705,190,11075,67803,28874,665,22431,15833
Niagara,2000,5573,1332,161,467,51,653,4241,192,781,1011,2257
Oneida,2000,4677,1042,183,298,27,534,3635,184,800,1032,1619
Onondaga,2000,13024,4421,576,1264,164,2417,8603,748,1476,3109,3270
Ontario,2000,2255,565,53,90,109,313,1690,99,371,507,713
Orange,2000,9834,2507,497,606,246,1158,7327,706,1623,2217,2781
Orleans,2000,763,189,33,39,26,91,574,23,174,134,243
Oswego,2000,2401,620,53,149,59,359,1781,25,406,476,874
Otsego,2000,1469,338,12,89,29,208,1131,16,324,293,498
Putnam,2000,1292,270,51,66,13,140,1022,68,357,197,400
Queens,2000,51662,18076,3730,6836,196,7314,33586,12873,1032,7432,12249
Rensselaer,2000,3479,944,163,268,89,424,2535,137,624,625,1149
Richmond,2000,10746,3946,1542,1111,6,1287,6800,2726,341,1365,2368
Rockland,2000,3683,1091,193,265,76,557,2592,241,589,843,919
Saratoga,2000,3946,810,68,171,113,458,3136,109,815,790,1422
Schenectady,2000,3173,1075,253,238,69,515,2098,184,292,631,991
Schoharie,2000,702,150,23,23,25,79,552,13,153,140,246
Schuyler,2000,455,97,2,18,37,40,358,5,93,62,198
Seneca,2000,861,137,6,23,25,83,724,14,146,149,415
Steuben,2000,2556,584,48,94,105,337,1972,38,539,449,946
St. Lawrence,2000,2582,580,59,123,69,329,2002,42,548,463,949
Suffolk,2000,25191,7144,1015,1757,529,3843,18047,3013,3967,3539,7528
Sullivan,2000,2296,693,130,185,58,320,1603,149,337,372,745
Tioga,2000,948,202,11,40,44,107,746,7,167,195,377
Tompkins,2000,1957,364,35,74,37,218,1593,77,354,419,743
Ulster,2000,4358,1042,127,224,127,564,3316,303,875,766,1372
Unknown-NonNYS,2000,82,70,11,22,1,36,12,0,2,2,8
Warren,2000,2178,549,45,120,69,315,1629,26,462,330,811
Washington,2000,1415,363,27,93,49,194,1052,20,307,238,487
Wayne,2000,2439,550,58,78,119,295,1889,95,385,527,882
Westchester,2000,16340,4953,770,1520,197,2466,11387,1437,2133,3750,4067
Wyoming,2000,867,218,7,66,38,107,649,11,195,142,301
Yates,2000,392,112,5,21,18,68,280,3,55,68,154
Albany,1999,9265,2616,612,580,117,1307,6649,1073,1246,1840,2490
Allegany,1999,1087,218,19,67,24,108,869,23,196,187,463
Bronx,1999,67372,25964,10447,8217,32,7268,41408,19217,578,10456,11157
Broome,1999,5996,1548,339,352,142,715,4448,226,705,1545,1972
Cattaraugus,1999,1736,342,34,85,56,167,1394,60,366,330,638
Cayuga,1999,1799,361,59,88,27,187,1438,30,254,497,657
Chautauqua,1999,3602,779,126,182,145,326,2823,95,641,747,1340
Chemung,1999,2641,552,89,104,101,258,2089,96,354,655,984
Chenango,1999,1124,249,8,61,30,150,875,14,175,233,453
Clinton,1999,1924,466,33,91,68,274,1458,32,387,418,621
Columbia,1999,1372,320,44,89,36,151,1052,76,216,305,455
Cortland,1999,1448,298,24,72,35,167,1150,28,328,266,528
Delaware,1999,1056,198,13,50,36,99,858,15,223,198,422
Dutchess,1999,5310,1356,236,307,134,679,3954,293,954,1205,1502
Erie,1999,27611,8344,1541,2598,294,3911,19267,2941,2592,5541,8193
Essex,1999,779,201,18,55,23,105,578,14,200,103,261
Franklin,1999,1398,287,32,59,38,158,1111,15,338,219,539
Fulton,1999,1608,337,47,64,50,176,1271,26,362,294,589
Genesee,1999,1327,387,27,88,59,213,940,30,274,242,394
Greene,1999,1073,302,37,79,47,139,771,38,234,189,310
Hamilton,1999,99,23,1,3,5,14,76,3,39,16,18
Herkimer,1999,1273,277,27,94,25,131,996,15,280,218,483
Jefferson,1999,2802,670,106,148,79,337,2132,97,582,495,958
Kings,1999,87751,34420,9272,12993,207,11948,53331,21376,960,14633,16362
Lewis,1999,433,141,1,20,19,101,292,1,99,64,128
Livingston,1999,1488,260,12,67,34,147,1228,29,311,328,560
Madison,1999,1341,265,26,61,5,173,1076,31,266,322,457
Monroe,1999,19904,5487,1457,1257,470,2303,14417,1189,2764,5106,5358
Montgomery,1999,1589,330,67,55,42,166,1259,57,239,316,647
Nassau,1999,16417,5291,924,1553,270,2544,11126,1089,2576,4029,3432
New York,1999,98905,33774,14885,7922,173,10794,65131,25279,596,24711,14545
Niagara,1999,5947,1529,226,498,67,738,4418,211,742,1120,2345
Oneida,1999,5412,1033,232,297,46,458,4379,298,844,1296,1941
Onondaga,1999,13428,4414,626,1436,190,2162,9014,885,1450,3079,3600
Ontario,1999,2360,567,60,99,112,296,1793,89,393,532,779
Orange,1999,9722,2347,501,513,221,1112,7375,713,1417,2518,2727
Orleans,1999,839,213,23,47,55,88,626,30,207,167,222
Oswego,1999,2464,599,47,166,61,325,1865,34,431,482,918
Otsego,1999,1474,286,7,67,30,182,1188,29,358,284,517
Putnam,1999,1459,353,75,58,21,199,1106,61,384,240,421
Queens,1999,50153,18753,3711,7201,207,7634,31400,10485,970,7601,12344
Rensselaer,1999,3490,862,173,227,64,398,2628,180,660,594,1194
Richmond,1999,10188,4093,1782,1124,5,1182,6095,2054,371,1405,2265
